,values,values,values,values,values,values,values,values,values,values,values,values,values,values,values,values,values,values,values,values
cols,cep_prefixo,coordenadas,data,datetime,frete,hora,prazo,preco,product_category_name,product_description_lenght,product_height_cm,product_id,product_id_off,product_length_cm,product_name_lenght,product_photos_qty,product_weight_g,product_width_cm,purchase_id,visit_id
index,,,,,,,,,,,,,,,,,,,,
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8991393413471798,1.8991393413471798,0.0,0.0,84.78554662493775,0.0,1.8991393413471798,1.8991393413471798,0.0,0.0,84.78554662493775,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9786135156761475,1.9786135156761475,0.0,0.0,84.48388739361316,0.0,1.9786135156761475,1.9786135156761475,0.0,0.0,84.48388739361316,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9314101770459329,1.9314101770459329,0.0,0.0,85.47109075151666,0.0,1.9314101770459329,1.9314101770459329,0.0,0.0,85.47109075151666,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9066403681788298,1.9066403681788298,0.0,0.0,82.43380551072859,0.0,1.9066403681788298,1.9066403681788298,0.0,0.0,82.43380551072859,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7906884202148827,1.7906884202148827,0.0056847251435393105,0.0,84.78199079074527,0.0056847251435393105,1.7906884202148827,1.7906884202148827,0.0056847251435393105,0.0056847251435393105,84.78199079074527,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6046213093709885,1.6046213093709885,0.0,0.0,84.7625160462131,0.0,1.6046213093709885,1.6046213093709885,0.0,0.0,84.7625160462131,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.844065353195579,1.844065353195579,0.00600672753483902,0.0,85.99831811629024,0.00600672753483902,1.844065353195579,1.844065353195579,0.00600672753483902,0.00600672753483902,85.99831811629024,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.722895905871053,1.722895905871053,0.006003121623244087,0.0,82.21275063032778,0.006003121623244087,1.722895905871053,1.722895905871053,0.006003121623244087,0.006003121623244087,82.21275063032778,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7950858778625955,1.7950858778625955,0.011927480916030533,0.0,83.48640267175573,0.011927480916030533,1.7950858778625955,1.7950858778625955,0.011927480916030533,0.011927480916030533,83.48640267175573,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9765330353401314,1.9765330353401314,0.006984215672579969,0.0,84.7953624807934,0.006984215672579969,1.9765330353401314,1.9765330353401314,0.006984215672579969,0.006984215672579969,84.7953624807934,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7819835320142556,1.7819835320142556,0.0,0.0,84.15263610667321,0.0,1.7819835320142556,1.7819835320142556,0.0,0.0,84.15263610667321,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8094168922934688,1.8094168922934688,0.006603711285742587,0.0,82.54639107178234,0.006603711285742587,1.8094168922934688,1.8094168922934688,0.006603711285742587,0.006603711285742587,82.54639107178234,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6483868898723621,1.6483868898723621,0.012827913539862741,0.0,83.00301455968186,0.012827913539862741,1.6483868898723621,1.6483868898723621,0.012827913539862741,0.012827913539862741,83.00301455968186,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0096577190739953,2.0096577190739953,0.0,0.0,84.55475074563272,0.0,2.0096577190739953,2.0096577190739953,0.0,0.0,84.55475074563272,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7889087656529516,1.7889087656529516,0.022361359570661897,0.0,83.80292188431724,0.022361359570661897,1.7889087656529516,1.7889087656529516,0.022361359570661897,0.022361359570661897,83.80292188431724,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8621284991984215,1.8621284991984215,0.0,0.0,83.58613885805894,0.0,1.8621284991984215,1.8621284991984215,0.0,0.0,83.58613885805894,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7137293086660177,1.7137293086660177,0.0,0.0,82.12268743914314,0.0,1.7137293086660177,1.7137293086660177,0.0,0.0,82.12268743914314,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8699504821475113,1.8699504821475113,0.013031013812874642,0.0,83.18347667448528,0.013031013812874642,1.8699504821475113,1.8699504821475113,0.013031013812874642,0.013031013812874642,83.18347667448528,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.014210688909484,2.014210688909484,0.006178560395427865,0.0,83.10781587890021,0.006178560395427865,2.014210688909484,2.014210688909484,0.006178560395427865,0.006178560395427865,83.10781587890021,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.949615362029479,1.949615362029479,0.0,0.0,82.60027012742968,0.0,1.949615362029479,1.949615362029479,0.0,0.0,82.60027012742968,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8437162405473533,1.8437162405473533,0.014404033129276198,0.0,81.4548073460569,0.014404033129276198,1.8437162405473533,1.8437162405473533,0.014404033129276198,0.014404033129276198,81.4548073460569,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9884264959369613,1.9884264959369613,0.006156119182467373,0.0,84.67741935483872,0.006156119182467373,1.9884264959369613,1.9884264959369613,0.006156119182467373,0.006156119182467373,84.67741935483872,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.015096374174417,2.015096374174417,0.020218358269308533,0.0,82.43698611672731,0.020218358269308533,2.015096374174417,2.015096374174417,0.020218358269308533,0.020218358269308533,82.43698611672731,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.759979594439485,1.759979594439485,0.006376737661012626,0.0,83.85410024231604,0.006376737661012626,1.759979594439485,1.759979594439485,0.006376737661012626,0.006376737661012626,83.85410024231604,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8875267561782447,1.8875267561782447,0.012972692482324707,0.0,83.00577284815463,0.012972692482324707,1.8875267561782447,1.8875267561782447,0.012972692482324707,0.012972692482324707,83.00577284815463,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.930925260400804,1.930925260400804,0.01218249375647195,0.0,84.63787537308886,0.01218249375647195,1.930925260400804,1.930925260400804,0.01218249375647195,0.01218249375647195,84.63787537308886,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9122541603630865,1.9122541603630865,0.012102874432677761,0.0,82.26928895612708,0.012102874432677761,1.9122541603630865,1.9122541603630865,0.012102874432677761,0.012102874432677761,82.26928895612708,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8491803278688526,1.8491803278688526,0.0,0.0,81.3967213114754,0.0,1.8491803278688526,1.8491803278688526,0.0,0.0,81.3967213114754,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.794616151545364,1.794616151545364,0.0,0.0,81.94749086075109,0.0,1.794616151545364,1.794616151545364,0.0,0.0,81.94749086075109,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7221657346212509,1.7221657346212509,0.006354855109303508,0.0,84.98347737671581,0.006354855109303508,1.7221657346212509,1.7221657346212509,0.006354855109303508,0.006354855109303508,84.98347737671581,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8304172274562585,1.8304172274562585,0.006729475100942126,0.0,83.84253028263795,0.006729475100942126,1.8304172274562585,1.8304172274562585,0.006729475100942126,0.006729475100942126,83.84253028263795,0.0
